state,,ppersqmi,popwpr,land_area
New York City,,27755.15864,8336817,300.37
District of Columbia,,11560.18018,705749,61.05
New Jersey,,1206.7609,8874520,7354
Rhode Island,,1026.6054,1061510,1034
Massachusetts,,886.1846,6912240,7800
Connecticut,,733.7505,3552820,4842
Maryland,,624.8522,6065440,9707
Delaware,,508.1242,990334,1949
New York,,409.5404,19300000,47126
Florida,,409.2233,21944600,53625
Ohio,,286.6939,11714600,40861
Pennsylvania,,286.1699,12804100,44743
California,,254.2929,39613500,155779
Illinois,,226.3964,12569300,55519
North Carolina,,220.1037,10701000,48618
Hawaii,,218.9678,1406430,6423
Virginia,,217.8774,8603980,39490
Indiana,,189.9643,6805660,35826
Georgia,,188.3053,10830000,57513
Michigan,,176.7352,9992430,56539
South Carolina,,175.5707,5277830,30061
Tennessee,,168.4069,6944260,41235
New Hampshire,,153.2671,1372200,8953
Washington,,117.3248,7796940,66456
Texas,,113.808,29730300,261232
Kentucky,,113.4759,4480710,39486
Wisconsin,,108.0633,5852490,54158
Louisiana,,107.0966,4627000,43204
Alabama,,97.427,4934190,50645
Missouri,,89.7419,6169040,68742
West Virginia,,73.5444,1767860,24038
Minnesota,,71.6641,5706400,79627
Vermont,,67.6197,623251,9217
Arizona,,66.2016,7520100,113594
Mississippi,,63.2187,2966410,46923
Arkansas,,58.3059,3033950,52035
Oklahoma,,58.1739,3990440,68595
Colorado,,56.8653,5893630,103642
Iowa,,56.7157,3167970,55857
Oregon,,44.6873,4289440,95988
Maine,,43.9166,1354520,30843
Utah,,40.2917,3310770,82170
Kansas,,35.6807,2917220,81759
Nevada,,29.0195,3185790,109781
Nebraska,,25.4087,1952000,76824
Idaho,,22.5079,1860120,82643
New Mexico,,17.354,2105000,121298
South Dakota,,11.8265,896581,75811
North Dakota,,11.1596,770026,69001
Montana,,7.4547,1085000,145546
Wyoming,,5.9847,581075,97093
Alaska,,1.2694,724357,570641
